排名,用户名,总分,题目 B4350,题目 P1059,题目 P1177,题目 P1403,题目 P1781
1,JSJ_ZhangMingjian,500,100,100,100,100,100
2,JSJ_XieJiale,500,100,100,100,100,100
3,JSJ_zengcankeng,500,100,100,100,100,100
4,计算机范淮宝,500,100,100,100,100,100
5,JSJ_HuangZeJian,500,100,100,100,100,100
6,JSJ_luohaiming,500,100,100,100,100,100
7,JSJ_QiuBiaoQuan,500,100,100,100,100,100
8,JSJ_LaiJiaHui,500,100,100,100,100,100
9,JSJ_CaiZeMing,500,100,100,100,100,100
10,JSJ_HuangYuYue,500,100,100,100,100,100
11,JSJ_LingZiYu,430,100,100,100,30,100
12,SHUJU_qiyue,410,40,100,100,70,100
13,SJS_ZhangChaoWei,400,40,100,100,80,80
14,JSJ_XIAJUNTIAN,400,0,100,100,100,100
15,JSJ_LinZhongXin,400,0,100,100,100,100
16,JSJ_Xiaminhui,390,100,100,100,70,20
17,JSJ_LinChuLiang,370,40,100,100,30,100
18,TM_JiangJiaJia,340,40,100,100,0,100
19,JSJ_ChenAnQi,330,20,100,100,30,80
20,JSJ_LiangJingZHen,300,0,100,100,0,100
21,JSJ_YueChenYang,300,0,100,100,0,100
22,JSJ_ZhaoZiCheng,300,0,100,100,0,100
23,JSJ_LianShengLi,290,40,100,100,30,20
24,JSJ_LiuYiQian,280,60,90,100,30,0
25,JSJ_himokes,260,20,100,100,0,40
26,JSJ_LuoQiongQiong,250,0,100,100,30,20
27,JSJ_XieZiYu,230,0,100,100,30,0
28,JSJ_ZhaoBin,230,0,90,100,0,40
29,jsj_LinLiGang,220,0,100,20,100,0
30,JSJ_HuGuoWang,200,0,100,100,0,0
31,JSJ_LiangManJie,200,0,100,0,0,100
32,JSJ_LiaoSuiHua,140,0,0,60,80,0
33,JSJ_XuXinyuan,120,0,0,20,0,100
34,JSJ_zhangchunhong,110,40,10,20,0,40
35,JSJ_QinYuxun,100,0,0,100,0,0
36,JSJ_WuYeHao,100,100,0,0,0,0
37,JYU_ZhangQin,100,0,0,100,0,0
38,Pebbleliuruiyu,80,0,0,20,0,60
39,jsjfengjunhao,20,0,0,20,0,0
40,JSJ_ZhuDaPeng,20,0,0,20,0,0
